Jefferson Davis,"192,795","186,669 171,890","161,159",75,,-3.2 -7.9 -6.2 69
Jones,"2,515,193","2,486,522 2,413,199","2,247,208",11,,-1.1 -2.9 -6.9 73
Kemper,"382,797","333,346 322,295","294,110",61,-12.9,-3.3 -8.7 76
Lafayette,"1,844,556","1,908,589 1,911,482","1,854,316",13,,3.5 0.2 -3.0 56
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Lamar,"1,538,241","1,520,793 1,554,407","1,541,426",15,,-1.1 2.2 -0.8 36
Lauderdale,"2,858,407","2,902,064 3,001,657","2,971,235",9,,1.5 3.4 -1.0 38
Lawrence,"336,270","345,335 314,077","307,161",59,,2.7 -9.1 -2.2 50
Leake,"552,490","578,214 568,700","492,108",49,,4.7 -1.6 -13.5 80
Lee,"4,432,506","4,396,040 4,500,737","4,402,941",7,,-0.8 2.4 -2.2 49
Leflore,"1,064,225","1,037,817 1,060,040","1,053,322",19,,-2.5 2.1 -0.6 33
Lincoln,"1,078,381","1,075,924 1,048,638","1,029,781",20,,-0.2 -2.5 -1.8 46
Lowndes,"2,598,688","2,576,577 2,689,273","2,728,379",10,,-0.9 4.4 1.5 21
Madison,"5,654,798","5,697,028 5,683,451","5,576,138",5,,0.7 -0.2 -1.9 47
Marion,"764,743","825,630 800,451","798,297",32,,8.0 -3.0 -0.3 29
Marshall,"566,120","593,625 624,585","686,530",34,,4.9 5.2 9.9 4
Monroe,"926,897","916,085 846,732","835,438",29,,-1.2 -7.6 -1.3 40
Montgomery,"181,926","171,462 168,390","170,747",73,,-5.8 -1.8 1.4 22
Neshoba,"966,773","963,165 961,264","873,333",26,,-0.4 -0.2 -9.1 77
Newton,"476,452","486,404 470,112","442,452",53,,2.1 -3.3 -5.9 68
Noxubee,"222,070","204,365 215,682","208,555",69,,-8.0 5.5 -3.3 59
Oktibbeha,"1,556,178","1,572,936 1,572,994","1,580,015",14,,1.1 0.0 0.4 24
Panola,"1,012,474","991,323 1,010,158","978,036",25,,-2.1 1.9 -3.2 58
Pearl River,"915,614","945,657 1,002,782","995,798",23,,3.3 6.0 -0.7 34
Perry,"275,095","278,894 267,093","267,404",63,,1.4 -4.2 0.1 25
Pike,"1,066,604","1,020,841 1,015,496","998,633",22,,-4.3 -0.5 -1.7 44
Pontotoc,"803,647","871,924 880,658","860,340",27,,8.5 1.0 -2.3 52
Prentiss,"529,094","533,260 531,098","529,858",46,,0.8 -0.4 -0.2 28
Quitman,"86,709","91,506 87,374","90,068",81,,5.5 -4.5 3.1 12
Rankin,"6,059,074","5,995,994 6,017,152","5,986,619",4,,-1.0 0.4 -0.5 31
Scott,"1,104,120","1,081,331 1,071,336","1,011,626",21,,-2.1 -0.9 -5.6 67
Sharkey,"89,950","84,989 87,206","97,013",80,,-5.5 2.6 11.2 3
Simpson,"605,647","611,703 582,672","543,015",41,,1.0 -4.7 -6.8 72
Smith,"429,089","436,375 375,623","324,640",58,,1.7 -13.9 -13.6 81
Stone,"309,264","315,549 329,580","336,451",57,,2.0 4.4 2.1 16
Sunflower,"613,738","605,308 563,419","584,803",38,,-1.4 -6.9 3.8 10
Tallahatchie,"258,536","246,676 252,415","243,888",66,,-4.6 2.3 -3.4 60
Tate,"458,869","456,872 456,178","454,864",51,,-0.4 -0.2 -0.3 30
Tippah,"542,263","584,586 577,956","584,437",39,,7.8 -1.1 1.1 23
Tishomingo,"438,544","476,027 512,912","540,334",43,,8.5 7.7 5.3 6
Tunica,"536,527","484,382 471,684","423,671",56,,-9.7 -2.6 -10.2 78
Union,"972,674","984,081 1,020,219","983,203",24,,1.2 3.7 -3.6 62
Walthall,"257,371","266,738 246,986","231,459",68,,3.6 -7.4 -6.3 70
Warren,"1,981,184","2,034,911 2,060,226","2,031,590",12,,2.7 1.2 -1.4 42
Washington,"1,338,020","1,306,322 1,255,291","1,286,769",17,,-2.4 -3.9 2.5 14
Wayne,"661,397","679,315 634,675","559,792",40,,2.7 -6.6 -11.8 79
Webster,"164,881","165,720 174,220","179,796",71,,0.5 5.1 3.2 11
Wilkinson,"138,354","134,909 134,190","131,333",77,,-2.5 -0.5 -2.1 48
Winston,"490,601","495,494 483,850","453,211",52,,1.0 -2.3 -6.3 71
Yalobusha,"250,378","254,874 292,500","298,339",60,,1.8 14.8 2.0 19
Yazoo,"704,255","717,669 695,586","690,442",33,,1.9 -3.1 -0.7 35
Missouri,"282,174,182","285,995,091 290,842,031","282,654,205",--,,1.4 1.7 -2.8 --
Adair,"724,917","738,526 737,525","734,841",43,,1.9 -0.1 -0.4 54
Andrew,"275,628","261,399 310,653","302,069",81,,-5.2 18.8 -2.8 82
Atchison,"258,267","279,877 302,486","309,676",79,,8.4 8.1 2.4 33
Audrain,"1,007,980","890,191 846,959","868,166",37,-11.7,-4.9 2.5 31
Barry,"1,468,103","1,614,354 1,500,459","1,416,424",25,10.0,-7.1 -5.6 107
Barton,"341,883","319,162 307,003","347,353",74,,-6.6 -3.8 13.1 2
Bates,"416,381","393,044 424,729","440,755",62,,-5.6 8.1 3.8 22
Benton,"355,977","389,750 372,269","356,086",73,,9.5 -4.5 -4.3 102
Bollinger,"191,319","188,738 181,707","180,541",101,,-1.3 -3.7 -0.6 58
Boone,"8,333,732","8,419,479 8,779,082","8,771,757",7,,1.0 4.3 -0.1 49
Buchanan,"4,640,808","4,561,897 4,615,246","4,505,430",12,,-1.7 1.2 -2.4 77
Butler,"1,341,624","1,324,515 1,291,293","1,336,172",28,,-1.3 -2.5 3.5 26
Caldwell,"192,909","221,022 195,641","201,609",93,14.6,-11.5 3.1 28
Callaway,"1,626,798","1,696,514 1,677,115","1,674,580",20,,4.3 -1.1 -0.2 51
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Camden,"1,366,982","1,416,920 1,411,312","1,368,158",27,,3.7 -0.4 -3.1 88
Cape Girardeau,"3,676,891","3,738,910 3,692,214","3,621,817",14,,1.7 -1.2 -1.9 70
Carroll,"341,040","289,735 343,686","317,468",77,-15.0,18.6 -7.6 112
Carter,"107,988","107,887 110,034","108,372",112,,-0.1 2.0 -1.5 65
Cass,"2,380,206","2,428,381 2,483,369","2,482,296",15,,2.0 2.3 0.0 48
Cedar,"229,240","240,037 247,450","264,496",84,,4.7 3.1 6.9 13
Chariton,"282,766","271,279 276,708","278,482",83,,-4.1 2.0 0.6 43
Christian,"1,508,188","1,544,766 1,621,747","1,594,768",21,,2.4 5.0 -1.7 67
Clark,"139,005","123,750 134,550","148,850",106,-11.0,8.7 10.6 5
Clay,"10,960,900","11,056,004 11,428,296","11,235,550",6,,0.9 3.4 -1.7 68
Clinton,"358,382","377,134 356,628","376,460",70,,5.2 -5.4 5.6 16
Cole,"4,520,080","4,521,304 4,857,848","4,877,360",9,,0.0 7.4 0.4 45
Cooper,"419,774","421,943 406,235","411,490",66,,0.5 -3.7 1.3 39
Crawford,"607,365","633,691 613,080","584,515",53,,4.3 -3.3 -4.7 105
Dade,"166,796","169,148 171,732","184,503",100,,1.4 1.5 7.4 12
Dallas,"240,550","241,573 238,940","232,589",88,,0.4 -1.1 -2.7 80
Daviess,"148,244","151,273 171,701","186,130",99,,2.0 13.5 8.4 8
DeKalb,"300,463","291,477 297,239","309,278",80,,-3.0 2.0 4.1 21
Dent,"306,342","328,043 346,832","334,360",76,,7.1 5.7 -3.6 93
Douglas,"200,364","207,343 198,365","190,379",98,,3.5 -4.3 -4.0 99
Dunklin,"605,732","637,905 686,935","632,647",49,,5.3 7.7 -7.9 113
Franklin,"4,223,418","4,128,703 4,231,890","4,268,971",13,,-2.2 2.5 0.9 42
Gasconade,"432,135","443,256 432,845","423,064",65,,2.6 -2.3 -2.3 76
Gentry,"211,266","197,494 225,703","221,352",90,,-6.5 14.3 -1.9 71
Greene,"14,543,798","14,835,232 15,402,263","14,988,265",5,,2.0 3.8 -2.7 81
Grundy,"357,904","345,786 328,426","314,056",78,,-3.4 -5.0 -4.4 103
Harrison,"219,985","220,565 229,958","244,199",86,,0.3 4.3 6.2 15
Henry,"654,623","652,055 645,737","657,323",48,,-0.4 -1.0 1.8 36
Hickory,"127,541","138,356 135,172","133,836",107,,8.5 -2.3 -1.0 61
Holt,"212,334","156,526 231,480","216,023",91,-26.3,47.9 -6.7 109
Howard,"206,246","197,182 209,628","208,493",92,,-4.4 6.3 -0.5 56
Howell,"1,080,644","1,125,384 1,148,568","1,122,989",30,,4.1 2.1 -2.2 75
Iron,"399,951","422,881 426,690","424,075",64,,5.7 0.9 -0.6 57
Jackson,"41,302,082","42,209,777 43,134,462","41,704,032",2,,2.2 2.2 -3.3 90
Jasper,"5,106,617","5,110,877 5,038,849","4,814,364",10,,0.1 -1.4 -4.5 104
Jefferson,"4,741,846","4,788,709 4,766,570","4,724,734",11,,1.0 -0.5 -0.9 60
Johnson,"1,684,647","1,689,836 1,664,977","1,717,673",19,,0.3 -1.5 3.2 27
Knox,"111,833","102,100 123,389","129,157",108,,-8.7 20.9 4.7 19
Laclede,"1,055,718","1,092,751 1,128,475","1,093,856",32,,3.5 3.3 -3.1 89
Lafayette,"788,894","776,955 751,965","770,479",42,,-1.5 -3.2 2.5 32
Lawrence,"834,425","920,407 825,513","801,319",40,10.3,-10.3 -2.9 85
Lewis,"201,468","226,435 216,083","237,022",87,12.4,-4.6 9.7 6
Lincoln,"1,122,984","1,114,770 1,164,851","1,184,720",29,,-0.7 4.5 1.7 37
Linn,"383,006","393,195 380,959","394,431",68,,2.7 -3.1 3.5 25
Livingston,"527,669","527,964 534,086","524,711",55,,0.1 1.2 -1.8 69
McDonald,"692,427","732,574 692,997","675,947",47,,5.8 -5.4 -2.5 78
Macon,"558,304","545,732 516,095","494,438",58,,-2.3 -5.4 -4.2 101
Madison,"257,051","264,367 270,617","262,763",85,,2.8 2.4 -2.9 84
Maries,"159,463","172,784 164,529","160,978",103,,8.4 -4.8 -2.2 74
Marion,"1,035,809","1,087,236 1,080,989","1,093,962",31,,5.0 -0.6 1.2 40
Mercer,"100,910","100,277 104,194","103,815",113,,-0.6 3.9 -0.4 53
Miller,"630,050","633,375 629,216","619,737",51,,0.5 -0.7 -1.5 64
Mississippi,"355,235","294,263 328,206","342,629",75,-17.2,11.5 4.4 20
Moniteau,"360,309","386,400 400,525","425,491",63,,7.2 3.7 6.2 14
Monroe,"209,071","174,664 177,180","193,307",97,-16.5,1.4 9.1 7
Montgomery,"300,243","321,409 338,713","356,687",72,,7.0 5.4 5.3 17
Morgan,"463,249","523,519 482,472","474,887",60,13.0,-7.8 -1.6 66
New Madrid,"959,769","922,015 976,781","939,359",36,,-3.9 5.9 -3.8 96
Newton,"1,859,040","1,985,141 1,925,849","1,896,988",18,,6.8 -3.0 -1.5 63
Nodaway,"644,942","631,987 646,988","700,932",45,,-2.0 2.4 8.3 9
Oregon,"187,142","195,374 193,629","199,522",94,,4.4 -0.9 3.0 29
Osage,"392,729","389,626 388,952","396,809",67,,-0.8 -0.2 2.0 35
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Ozark,"126,431","126,469 121,953","117,568",111,,0.0 -3.6 -3.6 92
Pemiscot,"417,179","380,602 394,824","384,543",69,,-8.8 3.7 -2.6 79
Perry,"1,001,745","1,034,189 1,045,299","1,006,137",34,,3.2 1.1 -3.7 94
Pettis,"1,577,670","1,535,466 1,580,227","1,546,870",22,,-2.7 2.9 -2.1 73
Phelps,"1,407,596","1,469,069 1,427,548","1,408,644",26,,4.4 -2.8 -1.3 62
Pike,"494,372","494,011 467,064","489,732",59,,-0.1 -5.5 4.9 18
Platte,"6,393,925","6,340,283 6,469,564","5,892,862",8,,-0.8 2.0 -8.9 114
Polk,"709,482","763,395 732,208","705,966",44,,7.6 -4.1 -3.6 91
Pulaski,"2,012,611","1,982,872 2,067,648","2,112,290",16,,-1.5 4.3 2.2 34
Putnam,"115,221","118,795 121,369","125,718",110,,3.1 2.2 3.6 24
Ralls,"383,949","394,596 520,737","583,902",54,,2.8 32.0 12.1 3
Randolph,"1,135,610","1,091,462 1,110,972","1,078,267",33,,-3.9 1.8 -2.9 86
Ray,"498,170","498,775 470,928","452,591",61,,0.1 -5.6 -3.9 98
Reynolds,"229,657","240,799 241,333","224,750",89,,4.9 0.2 -6.9 110
Ripley,"204,272","207,493 197,631","196,319",96,,1.6 -4.8 -0.7 59
St. Charles,"15,445,076","15,628,464 15,975,675","15,534,121",4,,1.2 2.2 -2.8 83
St. Clair,"130,838","138,271 141,651","152,563",104,,5.7 2.4 7.7 11
Ste. Genevieve,"545,676","584,384 592,628","597,838",52,,7.1 1.4 0.9 41
St. Francois,"1,549,198","1,610,677 1,584,545","1,537,853",23,,4.0 -1.6 -2.9 87
St. Louis,"71,613,910","72,384,575 73,216,063","70,227,464",1,,1.1 1.1 -4.1 100
Saline,"888,267","813,981 838,856","859,986",38,,-8.4 3.1 2.5 30
Schuyler,"94,628","97,568 88,469","85,126",114,,3.1 -9.3 -3.8 95
Scotland,"138,687","118,488 135,088","150,546",105,-14.6,14.0 11.4 4
Scott,"1,499,185","1,462,043 1,480,889","1,489,290",24,,-2.5 1.3 0.6 44
Shannon,"135,084","134,958 131,193","126,139",109,,-0.1 -2.8 -3.9 97
Shelby,"150,606","155,600 145,616","178,179",102,,3.3 -6.4 22.4 1
Stoddard,"925,716","860,760 960,267","958,456",35,,-7.0 11.6 -0.2 52
Stone,"642,252","680,822 674,453","623,184",50,,6.0 -0.9 -7.6 111
Sullivan,"317,855","363,101 469,339","505,987",57,14.2,29.3 7.8 10
Taney,"2,183,435","2,259,558 2,298,222","1,978,616",17,,3.5 1.7 -13.9 115
Texas,"491,373","500,721 498,294","506,163",56,,1.9 -0.5 1.6 38
Vernon,"839,488","792,552 783,290","784,509",41,,-5.6 -1.2 0.2 47
Warren,"740,939","783,273 809,374","805,853",39,,5.7 3.3 -0.4 55
Washington,"347,716","363,481 353,496","366,771",71,,4.5 -2.7 3.8 23
Wayne,"211,593","202,955 203,305","199,210",95,,-4.1 0.2 -2.0 72
Webster,"635,383","669,798 698,481","700,185",46,,5.4 4.3 0.2 46
Worth,"52,578","54,033 59,718","55,828",115,,2.8 10.5 -6.5 108
Wright,"314,783","308,240 300,443","300,140",82,,-2.1 -2.5 -0.1 50
St. Louis City,"25,729,235","26,550,978 26,972,663","25,661,422",3,,3.2 1.6 -4.9 106
Montana,"45,910,543","46,614,104 46,788,047","46,158,111",--,,1.5 0.4 -1.3 --
Beaverhead,"381,447","392,264 414,564","398,758",23,,2.8 5.7 -3.8 47
Big Horn,"895,019","941,609 836,632","805,983",10,,5.2 -11.1 -3.7 45
Blaine,"173,457","192,792 179,601","185,714",40,11.1,-6.8 3.4 18
Broadwater,"165,052","174,558 179,006","167,797",41,,5.8 2.5 -6.3 51
Carbon,"358,073","360,897 356,067","346,358",25,,0.8 -1.3 -2.7 38
Carter,"72,793","58,423 47,247","63,600",50,-19.7,-19.1 34.6 3
Cascade,"3,426,131","3,441,509 3,360,305","3,260,734",5,,0.4 -2.4 -3.0 42
Chouteau,"202,635","264,516 265,710","261,728",29,30.5,0.5 -1.5 32
Custer,"446,815","429,086 429,174","422,601",21,,-4.0 0.0 -1.5 33
Daniels,"96,392","90,270 92,786","117,122",43,,-6.4 2.8 26.2 4
Dawson,"411,371","417,585 388,339","407,073",22,,1.5 -7.0 4.8 17
Deer Lodge,"240,894","236,964 244,118","237,288",34,,-1.6 3.0 -2.8 39
Fallon,"243,964","223,722 219,722","239,054",33,,-8.3 -1.8 8.8 12
Fergus,"496,256","466,263 460,431","444,668",18,,-6.0 -1.3 -3.4 44
Flathead,"3,736,192","3,771,053 3,803,189","3,693,810",4,,0.9 0.9 -2.9 40
Gallatin,"5,107,102","5,378,344 5,681,075","5,660,927",2,,5.3 5.6 -0.4 28
Garfield,"39,588","43,619 36,695","51,818",53,10.2,-15.9 41.2 2
Glacier,"361,317","447,184 454,195","435,361",20,23.8,1.6 -4.1 48
Golden Valley,"24,903","24,843 26,100","29,653",55,,-0.2 5.1 13.6 10
Granite,"90,317","90,473 95,758","89,273",47,,0.2 5.8 -6.8 52
Hill,"664,385","730,170 707,555","676,889",14,,9.9 -3.1 -4.3 49
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Jefferson,"256,930","253,931 254,886","241,102",32,,-1.2 0.4 -5.4 50
Judith Basin,"109,927","117,382 109,019","109,701",44,,6.8 -7.1 0.6 25
Lake,"744,973","729,540 743,490","766,670",11,,-2.1 1.9 3.1 19
Lewis and Clark,"3,065,790","3,050,981 3,181,806","3,136,376",6,,-0.5 4.3 -1.4 30
Liberty,"98,217","205,215 238,216","217,082",36,108.9,16.1 -8.9 53
Lincoln,"517,624","525,855 513,071","526,520",16,,1.6 -2.4 2.6 20
McCone,"94,891","98,853 91,490","108,563",45,,4.2 -7.4 18.7 6
Madison,"379,971","419,474 452,720","454,175",17,10.4,7.9 0.3 26
Meagher,"63,528","58,790 63,779","63,091",51,,-7.5 8.5 -1.1 29
Mineral,"100,332","93,519 90,725","88,862",48,,-6.8 -3.0 -2.1 34
Missoula,"4,892,884","4,935,345 5,058,473","4,953,783",3,,0.9 2.5 -2.1 35
Musselshell,"272,675","283,869 280,330","283,108",28,,4.1 -1.2 1.0 24
Park,"528,725","533,012 553,023","532,202",15,,0.8 3.8 -3.8 46
Petroleum,"13,277","16,552 17,467","18,835",56,24.7,5.5 7.8 15
Phillips,"126,039","132,121 124,813","144,484",42,,4.8 -5.5 15.8 8
Pondera,"179,412","224,214 254,349","225,828",35,25.0,13.4 -11.2 54
Powder River,"129,748","117,108 128,802","205,811",37,,-9.7 10.0 59.8 1
Powell,"203,302","205,084 204,717","200,193",38,,0.9 -0.2 -2.2 36
Prairie,"61,073","53,038 42,010","50,478",54,-13.2,-20.8 20.2 5
Ravalli,"994,219","986,334 1,028,184","1,041,465",8,,-0.8 4.2 1.3 23
Richland,"1,012,666","946,643 971,753","957,872",9,,-6.5 2.7 -1.4 31
Roosevelt,"466,365","454,497 430,092","436,818",19,,-2.5 -5.4 1.6 22
Rosebud,"864,627","783,685 822,307","696,614",13,,-9.4 4.9 -15.3 56
Sanders,"325,038","308,768 312,130","328,388",26,,-5.0 1.1 5.2 16
Sheridan,"164,337","161,930 161,902","190,770",39,,-1.5 0.0 17.8 7
Silver Bow,"1,353,448","1,348,660 1,373,204","1,332,876",7,,-0.4 1.8 -2.9 41
Stillwater,"560,362","567,779 630,901","712,788",12,,1.3 11.1 13.0 11
Sweet Grass,"216,583","204,734 234,806","253,572",30,,-5.5 14.7 8.0 14
Teton,"222,851","254,110 253,241","245,594",31,14.0,-0.3 -3.0 43
Toole,"275,834","331,345 347,247","346,620",24,20.1,4.8 -0.2 27
Treasure,"100,232","107,458 92,761","79,884",49,,7.2 -13.7 -13.9 55
Valley,"314,307","283,776 282,412","306,609",27,,-9.7 -0.5 8.6 13
Wheatland,"74,839","84,714 90,823","93,119",46,13.2,7.2 2.5 21
Wibaux,"51,222","43,189 46,523","53,782",52,-15.7,7.7 15.6 9
Yellowstone,"9,234,037","9,329,253 8,821,423","8,602,799",1,,1.0 -5.4 -2.5 37
Nebraska,"114,480,884","116,904,392 118,286,500","117,664,915",--,,2.1 1.2 -0.5 --
Adams,"1,749,228","1,763,435 1,760,031","1,671,707",10,,0.8 -0.2 -5.0 83
Antelope,"425,191","436,427 517,205","599,035",29,,2.6 18.5 15.8 8
Arthur,"24,367","20,098 21,336","23,312",93,-17.5,6.2 9.3 23
Banner,"51,677","48,660 47,381","50,727",84,,-5.8 -2.6 7.1 26
Blaine,"42,801","39,285 36,270","38,198",89,,-8.2 -7.7 5.3 33
Boone,"361,265","398,862 421,853","438,395",35,10.4,5.8 3.9 39
Box Butte,"592,417","591,486 571,373","549,888",30,,-0.2 -3.4 -3.8 78
Boyd,"125,432","134,063 126,020","114,268",72,,6.9 -6.0 -9.3 91
Brown,"245,363","248,068 243,081","228,813",63,,1.1 -2.0 -5.9 87
Buffalo,"2,551,394","2,707,541 2,792,335","2,709,429",5,,6.1 3.1 -3.0 73
Burt,"287,655","314,809 317,430","304,317",53,,9.4 0.8 -4.1 80
Butler,"254,044","285,276 290,005","311,060",52,12.3,1.7 7.3 25
Cass,"672,847","696,064 743,350","746,995",22,,3.5 6.8 0.5 54
Cedar,"367,905","406,746 374,790","412,170",38,10.6,-7.9 10.0 21
Chase,"314,475","288,687 321,241","335,528",47,,-8.2 11.3 4.4 36
Cherry,"352,721","308,375 297,528","324,358",51,-12.6,-3.5 9.0 24
Cheyenne,"700,951","582,248 509,923","489,870",33,-16.9,-12.4 -3.9 79
Clay,"289,256","295,514 311,115","330,564",48,,2.2 5.3 6.3 29
Colfax,"617,998","663,659 665,034","687,673",24,,7.4 0.2 3.4 40
Cuming,"1,010,269","1,057,595 949,094","871,128",17,,4.7 -10.3 -8.2 89
Custer,"756,244","737,189 706,323","751,755",21,,-2.5 -4.2 6.4 28
Dakota,"1,295,039","1,345,133 1,411,263","1,403,012",13,,3.9 4.9 -0.6 62
Dawes,"273,405","260,737 263,643","275,516",57,,-4.6 1.1 4.5 35
Dawson,"1,441,706","1,479,823 1,476,349","1,438,074",12,,2.6 -0.2 -2.6 71
Deuel,"62,499","92,204 76,347","76,203",83,47.5,-17.2 -0.2 58
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Dixon,"170,636","192,903 266,808","299,942",54,13.0,38.3 12.4 13
Dodge,"1,817,951","1,910,484 1,932,783","1,941,614",9,,5.1 1.2 0.5 55
Douglas,"43,061,322","43,577,131 44,338,074","43,913,519",1,,1.2 1.7 -1.0 64
Dundy,"190,664","192,686 190,969","198,464",65,,1.1 -0.9 3.9 38
Fillmore,"347,998","348,448 349,192","355,703",42,,0.1 0.2 1.9 46
Franklin,"74,453","73,973 74,903","97,611",79,,-0.6 1.3 30.3 2
Frontier,"97,006","85,919 85,717","101,066",78,-11.4,-0.2 17.9 5
Furnas,"248,724","241,779 221,628","251,293",59,,-2.8 -8.3 13.4 12
Gage,"799,883","858,744 889,545","864,946",18,,7.4 3.6 -2.8 72
Garden,"78,726","80,944 76,454","77,823",82,,2.8 -5.5 1.8 47
Garfield,"80,409","76,317 83,745","92,527",80,,-5.1 9.7 10.5 18
Gosper,"91,532","95,531 89,733","102,522",77,,4.4 -6.1 14.3 10
Grant,"39,098","37,413 31,606","33,445",92,,-4.3 -15.5 5.8 30
Greeley,"90,664","83,796 100,445","116,431",71,,-7.6 19.9 15.9 7
Hall,"3,180,530","3,197,885 3,212,198","3,140,429",4,,0.5 0.4 -2.2 70
Hamilton,"603,932","622,743 633,458","652,162",27,,3.1 1.7 3.0 43
Harlan,"206,269","234,220 212,834","201,534",64,13.6,-9.1 -5.3 85
Hayes,"83,050","102,133 100,373","114,101",73,23.0,-1.7 13.7 11
Hitchcock,"147,509","131,333 130,202","139,120",68,-11.0,-0.9 6.8 27
Holt,"652,799","630,396 635,362","671,224",26,,-3.4 0.8 5.6 31
Hooker,"34,105","40,576 33,798","34,929",90,19.0,-16.7 3.3 41
Howard,"224,481","219,519 234,212","239,558",61,,-2.2 6.7 2.3 44
Jefferson,"414,647","402,269 398,966","401,619",39,,-3.0 -0.8 0.7 53
Johnson,"162,651","167,467 165,609","164,664",67,,3.0 -1.1 -0.6 61
Kearney,"351,507","338,180 338,207","336,869",46,,-3.8 0.0 -0.4 59
Keith,"374,539","380,743 377,237","374,827",41,,1.7 -0.9 -0.6 63
Keya Paha,"38,870","38,584 36,479","49,824",85,,-0.7 -5.5 36.6 1
Kimball,"149,733","161,411 151,373","168,279",66,,7.8 -6.2 11.2 16
Knox,"431,671","420,589 445,193","490,641",32,,-2.6 5.8 10.2 20
Lancaster,"16,814,940","17,178,901 17,483,605","17,281,019",2,,2.2 1.8 -1.2 65
Lincoln,"2,304,709","2,381,199 2,231,277","2,118,492",8,,3.3 -6.3 -5.1 84
Logan,"32,616","39,515 33,083","38,940",88,21.2,-16.3 17.7 6
Loup,"51,654","50,609 45,368","42,775",86,,-2.0 -10.4 -5.7 86
McPherson,"33,929","26,716 26,537","33,570",91,-21.3,-0.7 26.5 3
Madison,"2,149,978","2,233,467 2,280,178","2,251,105",7,,3.9 2.1 -1.3 66
Merrick,"402,882","374,878 382,422","348,507",44,,-7.0 2.0 -8.9 90
Morrill,"631,285","617,449 483,373","437,272",36,,-2.2 -21.7 -9.5 92
Nance,"136,241","129,577 111,974","122,353",69,,-4.9 -13.6 9.3 22
Nemaha,"685,390","624,864 659,361","636,064",28,,-8.8 5.5 -3.5 77
Nuckolls,"246,276","237,143 240,529","229,986",62,,-3.7 1.4 -4.4 82
Otoe,"1,194,877","1,265,627 1,149,045","1,165,190",14,,5.9 -9.2 1.4 49
Pawnee,"99,792","110,733 101,978","112,392",74,11.0,-7.9 10.2 19
Perkins,"254,573","252,657 296,171","291,140",55,,-0.8 17.2 -1.7 67
Phelps,"866,662","862,595 832,277","832,041",19,,-0.5 -3.5 0.0 57
Pierce,"321,706","336,431 335,916","338,350",45,,4.6 -0.2 0.7 51
Platte,"2,274,561","2,362,390 2,401,176","2,417,787",6,,3.9 1.6 0.7 52
Polk,"331,089","316,161 283,483","262,539",58,,-4.5 -10.3 -7.4 88
Red Willow,"472,359","475,801 492,055","502,679",31,,0.7 3.4 2.2 45
Richardson,"318,502","347,356 336,173","325,225",50,,9.1 -3.2 -3.3 74
Rock,"97,101","99,052 94,664","106,337",75,,2.0 -4.4 12.3 14
Saline,"758,629","914,136 959,787","1,011,334",16,20.5,5.0 5.4 32
Sarpy,"7,358,618","7,716,168 7,951,490","7,908,723",3,,4.9 3.0 -0.5 60
Saunders,"662,669","710,374 712,096","720,890",23,,7.2 0.2 1.2 50
Scotts Bluff,"1,626,563","1,630,807 1,598,698","1,545,478",11,,0.3 -2.0 -3.3 76
Seward,"710,219","760,097 703,393","680,085",25,,7.0 -7.5 -3.3 75
Sheridan,"250,609","247,699 293,705","326,518",49,,-1.2 18.6 11.2 15
Sherman,"105,172","97,461 106,628","118,055",70,,-7.3 9.4 10.7 17
Sioux,"114,652","113,897 91,998","87,974",81,,-0.7 -19.2 -4.4 81
Stanton,"263,740","260,277 330,215","397,532",40,,-1.3 26.9 20.4 4
Thayer,"352,622","360,093 356,595","350,143",43,,2.1 -1.0 -1.8 68
Thomas,"39,532","40,399 38,106","39,377",87,,2.2 -5.7 3.3 42
Thurston,"382,169","392,993 401,383","418,567",37,,2.8 2.1 4.3 37
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Valley,"250,057","260,675 268,900","281,140",56,,4.2 3.2 4.6 34
Washington,"1,051,537","1,133,759 1,154,435","1,158,651",15,,7.8 1.8 0.4 56
Wayne,"378,352","384,512 404,290","466,617",34,,1.6 5.1 15.4 9
Webster,"227,523","258,596 251,236","245,776",60,13.7,-2.8 -2.2 69
Wheeler,"141,012","136,683 132,591","105,708",76,,-3.1 -3.0 -20.3 93
York,"697,086","706,208 739,948","752,185",20,,1.3 4.8 1.7 48
Nevada,"145,699,910","150,711,635 156,828,838","145,219,085",--,,3.4 4.1 -7.4 --
